english,korean
"They could take control of missile bases and airports, or break into satellite systems.",그들은 미사일 기지나 공항을 통제할 수도 있고 위성시스템에 침입할 수도 있다.
Today we see women wearing them in countries all around the world.,오늘날전 세계의 나라들에서 하이힐을 신는 여자들을 볼 수 있다.
"Some years later, the real murderer was discovered.",몇 년 후 진짜 살인자가 밝혀졌다.
Many of the world's priceless artworks have been damaged or destroyed by warfare.,세계의 귀중한 예술품 중 많은 수가 전쟁에 의해 손상되거나 파괴되었다.
"In Vermont, someone had to walk with a red flag to warn that a car was coming.",버몬트 주에서는 자동차가 오고 있다는 것을 경고하기 위해서 누군가가 빨간 깃발을 들고 걸어다녀야 했다.
"He was surprised to find so few people in the street, but thought that this was because he was so much earlier than usual.",그는 거리에 사람들이 거의 없는 것을 알고 놀랐다. 그러나 이것은 그가 평소보다 훨씬 일찍 나왔기 때문이라고 생각했다.
So small talk helps people decide if they want to get to know each other better.,따라서 가벼운 이야기는 사람들이 서로를 더 잘 알게 되기를 원하는지 여부를 판단하는 데 도움을 준다.
"""How did you manage to become so rich without e-mail and e-commerce?","""이메일이나 전자 상거래 없이 어떻게 부자가 될 수 있었죠?"
"When you look in the mirror, what do you see?","거울을 보실 때, 무엇이 보입니까?"
One group thought of a relaxing scene like a blue sky or a beach.,한 그룹은 푸른 하늘이나 해변 같은 편안한 장면을 생각했다.
This method is called *acupuncture.,이 방법은 침술이라고 불린다.
Strong believers may not even swallow their own saliva.,열렬한 신자들은 침조차 삼키지 않는다.
Wild animals go to sleep and stay asleep all winter.,야생 동물들은 잠자리에 들어 겨울 내내 잠을 잘 것이다.
It's not strange that a 13-year-old child has them.,13살 아이에게 사랑니가 있는 것은 이상한 일이 아니다.
"The invention became a big hit, but it could not be widely used.","그 발명품은 큰 성공을 거두었으나, 널리 사용될 수는 없었다."
husband: My wife lost it in the kitchen.,남편 : 아내가 부엌에서 잃어버렸지.
"Now, an acrobat is walking on a rope.",이제 곡예사가 밧줄을 타고 있다.
The Reason Why Acupuncture Costs Much Money,침술이 많은 비용이 드는 이유
Each hand has five fingers at the end of it.,각 손마다 끝에 5개의 손가락이 있다.
"Usually, Koreans should listen to the speaker through to the end to find the point.",대체로 한국인들은 요점을 파악하려면 말하는 사람에게 끝까지 귀를 기울여야 한다.
"It has been called ""the ashes of death"" since it is mainly produced when garbage is burned.","이것은 주로 쓰레기가 소각될 때 방출되므로 ""죽음의 재""라고 불려왔다."
"Next comes the ""horror"" stage.","다음은 ""호러"" 단계이다."
He hurried to the bus stop.,그는 서둘러 버스 정류장에 갔다.
She works in the office until 5:00 p.m.,그녀는 오후 5시까지 사무실에서 근무한다.
"I'm going to study in ten minutes, Mom.","10 분 후에 공부할게요, 엄마."
"According to the folk tale, a man named Jack tricked the devil into climbing a tree.","민담에 따르면, 잭이라는 사람이 악마를 속여서 나무에 오르도록 했다."
"Friday has also long been considered unlucky, perhaps because Christ died on Friday.","금요일 또한 오랫동안 불길하다고 여겨져 왔는데, 아마도 그리스도가 금요일에 죽었기 때문일 것이다."
I insisted he take a hearing test.,나는 남편에게 청력검사를 받으라고 주장했다.
"As a speaker of these three foreign languages, you can speak to yourself in them.","이 세 외국어의 화자로서, 여러분은 그것들로 자신에게 말할 수 있다."
She could not speak.,그 소녀는 말을 할 수 없었다.
"Learning a foreign language is not only fun, but it is learning to understand its speakers, too.","외국어를 배우는 것은 재미있을 뿐만 아니라, 그것을 말하는 사람을 이해하는 것을 배우는 것이다."
"Fifty years ago, most Americans lived in small communities.",50년 전에 대부분의 미국인들은 작은 공동체 안에서 살았다.
He suggested that on their next birthday the parents give the pessimist the best toy and give the optimist just an empty box.,그는 부모더러 다음 번 생일에 염세주의자 아들에게는 가장 좋은 장난감을 주고 낙천주의자 아들에게는 빈 상자를 줘 보라고 제안했다.
She learned to eat and walk like a wolf.,그 아이는 늑대처럼 먹고 걷는 것을 배웠다.
What this means is that fewer students are using higher education to find out who they are; the sort of human beings they ought to be.,이것은 학생들이 마땅히 되어야 하는 종류의 인간인 그들의 본질을 발견하는 데 그들의 고등 교육을 이용하려는 학생들이 거의 없다는 것을
"Is there no room left for fairy tales, myths, and legends?","동화나 신화, 그리고 전설을 위해 남겨진 공간은 없는가?"
"We must stay at home till mother will home.""","우리는 집에서 엄마가 오실 때까지 기다려야 해.""라고 대답했다."
Inca doctors chewed leaves of the coca plant while they worked.,잉카의 의사들은 치료를 하는 동안 코카 나무잎을 씹었다.
She needs only to finish what she is able to do.,그녀는 자기가 할 수 있는 것만을 끝내면 됩니다.
"More than two hundred years ago, the writer Jonathan Swift lived near a rich old lady's house.","이백여 년 전에, 작가 조나단 스위프트는 한 부유한 노부인의 집 근처에 살고 있었다."
"Almost every time he is at bat, he hits a home run.",그는 칠 때마다 거의 홈런을 친다.
They didn't exist thousands of years ago.,사랑니는 수천 년 전에는 존재하지 않았다.
My uncle went to the hospital to see the doctor.,나의 삼촌은 진찰을 받기 위해서 병원으로 갔다.
"Nowadays, in fact, it is more important than ever.",오늘날은 사실상 그것이 그 어느 때보다도 더 중요하다.
This morning Nam-su had an English calss.,오늘 아침 남수는 영어 수업이 있었다.
"In every school there is a ""top"" crowd that sets the pace, while the others follow their lead.","모든 학교에는 주도적인 ‘상위’그룹이 있는 반면, 그 외 다른 아이들은 그들의 지도력을 따른다."
People bought so much Vitamin C that it soon became hard to find.,"사람들이 비타민 C를 너무 많이 구입해서, 곧 구하기가 어려워질 정도였다."
Now this change is taking place in the Bible as well.,이제 이 변화는 성경에서도 일어나고 있다.
"One day when Swift was busy with his writing, the boy ran into his room.",어느 날 스위프트가 바쁘게 글을 쓰고 있을 때 그 소년이 그의 방으로 뛰어들어 왔다.
At 10:00 Mr. Robinson rings the bell on his desk and Susan goes into his office with the letters.,10시에 Robinson씨는 그의 책상에 있는 종을 울리고 Susan은 편지를 가지고서 그의 사무실 안으로 들어간다.
"In fact, coca has been used for many centuries to kill pain.","사실, 코카잎은 통증을 없애기 위해 수세기 동안 사용되어 왔다."
They are playing with a ball.,그들은 공을 가지고 놀고 있다.
"Since then, these scientists have been sending out radio waves from Earth, expecting aliens to answer our signals.","그 이후로, 이 과학자들은 외계인들이 우리의 신호에 응답하기를 기대하면서, 지구로부터 전파를 내보내고 있다."
Just imagine!,한번 상상해 보라!
I'm a famous actress-a superstar!,전 유명한 여배우-슈퍼스타랍니다!
Coyotes also like to kill calves and lambs on people's farms.,또한 코요테는 사람들의 농장에서 송아지와 양을 잡아먹는 것을 좋아한다.
But sometimes it does not look like the same language.,그러나 때론 그 영어가 같은 언어처럼 보이지 않는다.
This did not mean that the Koreans had especially bad eyesight - they were simply trying to impress their Japanese hosts.,이것은 한국인들이 특별히 시력이 나빴다는 뜻은 아니다. 그들은 그저 일본인 주최측에 깊은 인상을 남기려고 했던 것뿐이었다.
Our money troubles are over!,우리의 돈 걱정은 끝났다!
A baby lived with wolves in India.,한 아기가 인도에서 늑대들과 함께 살았다.
The minister answered by telling a story about a pig and a cow.,목사는 돼지와 소 이야기로 답변을 했다.
"However, there is another type of terrorism that we need to worry about - cyber terrorism.","그러나 우리가 걱정해야 하는 또 다른 유형의 테러가 있는데, 그것은 바로 사이버 테러이다."
Very recently there have been two cases of men released from prison long after it was discovered that they had not committed the murders.,아주 최근에는 자신들이 살인을 저지르지 않았다는 것이 밝혀진후 오랜 감옥생활에서 풀려난 사람들에 관한 사건이 두 건 있었다.
"But there's a problem: the star is 17 light years away from the Earth and it will take 400,000 years to reach.","하지만 문제가 한 가지 있는데, 그것은 그 별이 지구에서 17광년이나 떨어져 있어 거기까지 도달하는 데 40만년이 걸린다는 것이다."
"In the last three years, around 90 people in the U.S. have been frozen.",지난 3년간 미국에서 약 90여 명의 사람들이 냉동되었다.
"Julia said, ""I remember that he was short, and he had black curly hair.",Julia는 “제 기억에 그 사람은 키가 작고 검은색 곱슬머리였어요.
Then he eats it all by himself.,그리고 나서는 혼자 다 먹어 버린다.
"While a man was planting the first grapevine ever, the devil came and asked him what he was doing.",한 남자가 최초의 포도나무를 심고 있을 때 악마가 그에게 다가와서 뭘 하고 있냐고 물었다.
"But those were only small changes, like using ""they"" in the place of ""he,"" when referring to humankind in general.","그러나 그것들은 일반적인 인류를 지칭할 때 ""그 남자"" 대신에 ""그들""을 사용하는 것과 같은 작은 변화일 뿐이었다."
"I have a number of books to read, but I have no time to read them.","저는 읽을 책이 많지만, 저는 그것들을 읽을 시간이 없습니다."
Korean newspapers often carry ads for new and revolutionary methods of learning English.,한국의 신문에는 새롭고 혁명적인 영어 학습 방법에 대한 광고가 종종 보도된다.
"First, so many people in India speak English, which is the main language used on the Internet.","첫째, 인도에서는 매우 많은 사람들이 인터넷에서 사용되는 주요 언어인 영어를 사용한다."
But this is very interesting.,하지만 아주 재미있어요.
"As she departed one afternoon, she left her boss this note:","어느날 오후, 그녀는 퇴근하면서 사장에게 다름과 같은 쪽지를 남겼다."
"The doctor answered, ""You're not drinking enough water.""","의사가 대답했다. “당신은 물을 충분히 마시고 있지 않습니다."""
The day we discover a signal from extraterrestrial intelligence will be a turning point in the history of the world.,우리가 지구 밖의 지능체로부터 온 신호를 발견하는 그 날은 세계 역사에서 하나의 전환점이 될 것이다.
"For Muslims, Ramadan is much more than a yearly custom.",이슬람교도들에게 있어 라마단은 해마다 있는 관습보다 훨씬 더 많은 것을 의미한다.
"I would say, ""Lunch is ready,"" and he would yell, ""What?""","내가 “점심 다 됐어요.""하고 말하면 남편은 “뭐라고요?"" 라며 소리를 지르곤 했다."
"At the same time you can compare our way of thinking with the foreign peoples' ways of thinking, too.",동시에 우리들의 사고 방식과 외국 민족의 사고 방식 역시 비교할 수 있다.
It's the world's most famous drink and one of the symbols of America.,그것은 세계에서 가장 유명한 음료이고 미국을 상징하는 것 중의 하나가 되었다.
The parks are beautiful.,공원들은 아름답다.
"He will meet Su-mi's parents, and friends.",그는 수미의 부모님과 친구들을 만날 것이다.
"Now, it's the lion's turn.",이제 사자의 차례이다.
They do it to mark off their area and to invite female birds to mate.,"그것들은 자신의 영역을 구분하고, 짝을 짓기 위해 암컷 새들을 불러들이려고 노래하는 것이다."
"If I pick the shirt, then the pants are my opportunity cost.",내가 셔츠를 선택한다면 바지가 기회비용이 되는 것이다.
One is that the idea goes back to the Last Supper.,그 중 한가지는 그 생각이 최후의 만찬까지 거슬러 올라간다는 것이다.
"The boss replied, ""Really?""","사장은 대꾸했다, ""정말로요?"""
These gave their owners the look of a highly educated person.,이 안경은 그 주인에게 고등교육을 받은 사람의 인상을 심어주었다.
This shows there are serious problems in the environment.,이것은 환경에 심각한 문제가 있다는 것을 나타낸다.
Today many kinds of international games are played all over the world.,오늘날 많은 종류의 국제적 경기들이 세계 곳곳에서 펼쳐지다.
It could hurt his legs when landing.,착륙할 때는 사용자의 다리를 다치게 할 수도 있다.
Bad weather in Florida means fewer oranges. And that means more expensive orange juice!,"Florida의 나쁜 날씨는 오렌지가 덜 생산된다는 것을 의미하는 것이고, 그것은 값비싼 오렌지 쥬스를 의미하게 된다."
Henry Augustus Rowland was an American scientist who was famous for his modesty.,Henry Augutus Rowland는 겸손함으로 유명한 미국의 과학자였다.
This is because the poorer young have fewer options than middle-class youngsters to go on to college and graduate school and so delay marriag,이는 가난한 젊은이일수록 중산층 젊은이에 비해 대학에 진학해 학업을 마치고 그래서 결혼을 뒤로 미룰 수 있는 선택권이 적기 때문이다.
The rocket backpack is something most of us imagined once or twice when we were young.,배낭 로켓은 우리들 대부분이 어렸을 때 한 두 번 상상해 봤던 것이다.
It's a nice city.,그것은 멋진 도시이다.
Most of the frozen people were suffering from incurable diseases when they died.,대부분의 냉동된 사람들은 죽을 때 불치병을 앓고 있었다.
"With only $10 in his wallet, the man didn't know what to do.",지갑에 겨우 10달러밖에 없었던 그는 무엇을 해야 할지 몰랐다.
She hates to do that.,그녀는 그것을 하는 것을 싫어한다.
"Not all plants have big, beautiful flowers, but all flowers have the same job.","모든 식물들이 크고 아름다운 꽃을 피우지는 않지만, 모든 꽃들은 같은 일을 한다."
"They were shot by her son in the field this morning.""","그것들은 오늘 아침에 들에서 그분의 아드님이 사냥하신 거예요.""라고 말했다."
We will have flowers. The trees will become green again.,꽃이 필 것이고 나무는 다시 초록색으로 물들 것이다.
This shows that even the Bible cannot go against the general trend toward the equality of the sexes.,이것은 성경조차도 성 평등을 지향하는 일반적 추세를 거스를 수 없다는 것을 보여준다.
My family will spend more time outdoors.,우리 가족은 더 많은 시간을 바깥에서 보낼 것이다.
A policeman stopped when he saw what was going on.,한 경찰관이 벌어지고 있는 일을 보고서 멈춰 섰다.
In this world you will have to make your own way.,이 세상에서 너는 스스로의 노력으로 살아가야 할 것이다.
He had difficulty reading when young.,그는 어렸을 때 읽는 데에 어려움이 있었다.
"The parents followed what the counselor had said and carefully observed the boys, expecting their sons would change.","부모는 상담원의 말을 따랐고, 아들들이 변화하길 기대하면서 아이들을 주의 깊게 관찰했다."
But they are alive.,그러나 그것은 살아 있다.
You begin to complain about the life and values of the people.,사람들의 생활과 가치관에 대해 불평하기 시작한다.
"Many people believe that Friday the 13th is an unlucky day, that the 13th floor of a building is unlucky and that the number 13 in general is","많은 사람들이 13일의 금요일은 불길한 날이고, 건물의 13층도 불길한 층이며, 13이란 숫자는 대체로 불길하다고 생각한다."
"And he would respond by yelling, ""DON'T SCREAM AT ME!""","그러면 남편은 “나한테 소리지르지 마요!"" 라고 외치면서 대답했다."
"When I got married, I quit smoking and took up running.","나는 결혼을 했을때, 담배를 끊고 달리기를 시작했다."
Sometimes the patients were able to walk out of the hospital right after the operations.,때때로 환자들은 수술 직후에 병원에서 걸어나갈 수 있었다.
She worked on a farm.,그녀는 농장에서 일했다.
The next morning the alarm rang and woke the student.,그 다음날 아침 자명종 시계가 울려 그 학생을 깨웠다.
"When the man replied that he didn't use e-mail or the Internet, the banker was very surprised.","그가 자신은 이메일이나 인터넷을 사용하지 않는다고 대답했을 때, 은행원은 매우 놀랐다."
And the public will react variously to the news.,그리고 일반대중들은 그 소식에 다양하게 반응할 것이다.
John couldn't do his homework because he had to visit his grandmother in the hospital.,John은 병원에 계신 할머니를 뵈어야 했기에 숙제를 할 수 없었다.
"In parts of China, groundwater levels are falling by as much as one meter per year.",중국의 몇몇 지역에서는 지하수 수위가 매년 1미터씩이나 내려가고 있다.
Some workers like it because their working hours become more flexible.,일부 근로자들은 근무 시간이 좀 더 자유로워지기 때문에 이것을 선호한다.
They can go inside things.,세균은 물질 안에 들어갈 수 있다.
"Suddenly, taking Vitamin C became a craze.",갑자기 비타민 C를 섭취하는 게 큰 유행이 되었다.
"One day Ned heard some girls saying, ""We don't like to sit near Ben.""","어느날, Ned는 몇몇 여자 아이들이 “우리는 Ben의 옆에 않은 것이 싫어.""라고 말하는 것을 들었다."
He carries a dictionary with him and tries to learn new words every day.,그는 매일 사전을 가지고 다니며 새로운 단어들을 배우려고 노력한다.
I just wanted you to know how proud I am of Bobby.,저는 당신들게 제가 얼마나 보비를 자랑스럽게 여기는지 알려드리고 싶을 따름입니다.
"Then you will be able to choose the colors, shapes and other design features that you want.","그러면, 당신은 원하는 색깔과 형태, 다른 디자인 요소를 선택할 수 있게 된다."
She was arrested by the police.,그녀는 경찰에 체포되었다.
"Searching through row upon row of Christmas trees, my husband and I picked one we liked.",여러 줄로 세워져 있는 크리스마스 트리 사이를 뒤지며 찾다가 남편과 나는 마음에 드는 나무 한 그루를 골랐다.
Let me give you another example.,다른 예를 들어보자.
They may succeed by the year 2030.,그들은 아마 2030년까지는 성공할 것이다.
Now you begin to look back and laugh at your mistakes in the earlier stages.,이제 뒤를 돌아보고 그 이전 단계 때의 자신의 실수들에 대해 웃음짓기 시작한다.
He usually gets up early and goes to work.,그는 언제나 아침 일찍 일어나서 일하러 간다.
"""The cow said, 'Perhaps it's because I give while I'm still living.'""","""소는 '아마 그건 나는 살아있을 때 주기 때문일 거야.'라고 말했습니다."""
"Not long ago, a television reporter asked some children what their dreams were.",얼마전 한 텔레비전 기자가 몇 명의 어린이들에게 그들의 꿈이 무엇이냐고 물었다.
"They know that these birds often fly above dead animals, so finding them can lead to a free meal.",그들은 이 새들이 종종 죽은 동물들 위를 난다는 것을 알기 때문에 그 새들을 찾으면 공짜 먹이를 얻을 수 있다.
These behaviors may weaken the group work environment and decrease productivity.,이런 행위들은 단체 근로환경을 약화시키고 생산성을 떨어뜨릴 수 있다.
People with IAS feel depressed if they aren't allowed to use their computer.,IAS에 걸린 사람들은 컴퓨터를 사용하는 것이 허용되지 않으면 우울해 한다.
So English is used by many people.,그래서 영어가 많은 사람들에 의해 사용되어진다.
"Then Peter put his hand in his pocket and said, 'I've left the key of out room downstairs in my coat.""","그때 Peter가 호주머니에 손을 넣고 “우리방 열쇠를 아래층 내 코트에 넣어두었구나.""라고 말했다."
He thought that the two Cs would look good in advertising.,그는 그 두 개의 C자가 광고할 때 좋게 보이리라 생각했다.
"To meet people's needs, governments have used up much of their groundwater.","사람들의 욕구를 충족시키기 위해, 정부는 많은 양의 지하수를 거의 다 써버렸다."
This makes it harder for female polar bears to have babies.,이렇게 되면 암컷 북극곰들은 새끼를 갖기가 더 어려워진다.
This puzzled the pig.,이것이 돼지를 당혹하게 만들었죠.
They didn't do their homework and now she can't teach the lesson she planned.,학생들이 숙제를 해 오지 않아서 지금 그녀는 그녀가 계획했던 것을 강의할 수가 없다.
How are you?,안녕!
Susie was a young gril.,Susie는 어린 소녀였다.
What are you going to watch next?,그 다음에는 무엇을 볼 것인가?
You can go into the world of the past.,당신은 과거의 세계로 갈 수 있다.
They are going to go to the park by the side of Lake Ch'unch'on.,그들은 춘천호 옆의 공원에 가려고 한다.
So I didn't like the idea of my son becoming a cook.,그래서인지 요리사가 되겠다는 아들의 생각이 마음에 들지 않았어요.
"""Oh, nothing much.","""음, 그리 많지 않소."
"Everyone answered, ""Yes.""","모두 대답했다, ""네."""
People write me letters about robins that spend their days fluttering against windows.,사람들은 창문에서 퍼덕거리며 세월을 보내는 울새에 대해 나에게 편지를 쓴다.
People can do anything they want to do in their free time.,사람들은 여가 시간에 하고 싶은 것을 할 수 있다.
It is Sunday.,일요일이다.
"By the 1890s, however, people started wearing more simple and accurate Western-style eyeglasses.","그러나, 1890년대엔 이미 사람들이 좀 더 단순하고 정밀한 서양식 안경을 쓰기 시작했다."
"If students can get someone to take their place, hey get the holiday.","만약에 학생들이 누군가가 자신의 자리를 대신하게 할 수 있다면, 그들은 휴일을 얻는다."
The pumpkin looks like a face and has a candle burning inside it.,그 호박은 사람의 얼굴처럼 생겼고 그 안에는 초가 타고 있다.
Judy and Betty are sisters.,Judy와 Betty는 자매이다.
"Hi, my fans. My name's Diana Rich.","안녕하세요, 여러분. 제 이름은 Diana Rich입니다."
"In Theater U-ju, we are playing 'Bear' and 'Star Wars'.",우주 극장에서는 ’베어‘와 ’스타워즈‘를 상영할 것입니다.
"After just a few weeks' use, you'll be looking in the mirror and loving what you see. And you won't just be dreaming.",몇주간 사용하신후에 거울을 보면 당신의 모습이 마음에 드실겁니다. 당신은 꿈을 꾸고 있는 것이 아닐 겁니다.
"By using this method, doctors can operate freely without giving pain to their patients.",이 방법을 사용하여 의사들은 환자들에게 통증을 주지 않고 마음놓고 수술할 수 있다.
White horses are coming into the ring.,백마들이 원형무대 안으로 들어오고 있다.
Society teaches children to act like males or females at a young age.,사회는 아이들에게 남성 또는 여성답게 행동하도록 어린 시절부터 가르친다.
"""The main reason we can't grow enough food,"" he adds, ""is because there isn't enough water.""","""우리가 충분한 식량을 재배할 수 없는 주된 이유는 충분한 물이 없기 때문입니다."" 그는 덧붙여 말한다."
I have a new nice car and a lot of money in the bank.,전 신종의 좋은 차와 은행에 많은 돈을 가지고 있습니다.
A girl is standing on the back of the first horse.,소녀 하나가 첫 번째 말 등에 서 있다.
"Research on rats shows that when animals live in crowded conditions, they live disorderly, violent lives.",동물들이 혼잡한 상태에서 살게되면 난잡하고 난폭한 생활을 한다는 것이 쥐에 대한 실험에서 밝혀졌다.
"No one seems to know exactly why this came to be so, but there are many possible explanations. ","왜 그렇게 되었는지 정확히 아는 사람은 아무도 없는 것 같지만, 가능한 설명들은 많이 있다."
"They also learned to understand one's words by watching his face, especially his lips.",그들은 또한 사람의 얼굴 특히 입술을 관찰함으로써 사람의 말을 이해하는 것을 배웠다.
"While he was waiting for a bus, he saw a little dog going across the street.",그가 버스를 기다리는 동안 그는 강아지 한 마리가 길을 건너가고 있는 것을 보았다.
Why?,왜 그럴까?
A : Stop watching TV.,A : TV 그만 보거라.
"For example, coyotes will search the sky for vultures flying in circles.","예를 들면, 코요테는 원을 그리며 하늘을 날고있는 독수리를 찾아다닐 것이다."
"At the meal were 13 people, including Jesus Christ, and Judas was thought to be the 13th guest.","그 만찬에는 예수 그리스도를 포함해서 13명의 사람이 있었는데, 유다가 13번째 손님인 것으로 생각되었다."
My sister Betty is waiting for me.,동생 Betty가 나를 기다리고 있는 중이야.
"During a clear day it is very blue, and on a rainy day it is gray.",맑은 날에는 매우 푸르다. 그리고 비오는 날에는 회색이 된다.
"Because quite a few voters decide who to vote for by the way the different candidates speak, dress and act.",왜냐하면 왜 많은 유권자들이 누구에게 찬성표를 던질 것인가를 여러 후보자들이 말하고 옷을 입고 행동하는 방식을 토대로 결정하기 때문이
When baby birds are born they naturally follow the first large thing they see.,새끼새가 태어나면 그들은 천성적으로 그들이 보는 가장 첫번째의 큰 물체를 따라다닌다.
"After that, they sit down to a meal, and they start to eat at the same time, saying ""Bismillah,"" or ""in the name of God.""","그리고나서 그들은 식사를 하기위해 자리에 앉고 “Bismillah""즉 ""신의 이름으로“라고 말하며 일제히 식사를 시작한다."
"Saturday, November 11, Fine.","11월 11일, 토요일, 맑음."
The sun keeps you from seeing the moon and stars.,해는 달과 별을 보지 못하게 된다.
These molars are called wisdom teeth.,이 어금니들은 사랑니라고 불린다.
This is often more effective than dieting.,이것은 종종 다이어트보다 훨씬 효과적이다.
"However, the practice also has disadvantages.","그러나, 그 관행에는 단점도 있다."
They pretended that they were holding fishing rods and waiting for the fish to bite.,그들은 낚싯대를 잡고 물고기가 물기를 기다리고 있는 시늉을 하였다.
Ninety percent of all countries have official organizations to improve the lives of women.,90%의 국가가 여성의 삶을 향상시키기 위한 공식 기관을 가지고 있다.
"Horses were considered much more valuable than human actors too, and they were treated better.","말들 또한 배우들보다 훨씬 더 소중하게 여겨져서, 더 좋은 대우를 받았다."
"The press will be serious in their reporting about aliens, while television will show all kinds of science-fiction movies.","언론은 외계인에 대한 보도를 할 때 진지할 것이고, 동시에 TV에서는 모든 종류의 공상 과학 영화를 방영할 것이다."
"""Thinking of a beautiful beach, however, makes them relaxed and peaceful.""","""하지만 아름다운 해변을 생각하는 것은 사람들을 더 편안하고 평화롭게 만듭니다."
"Within two hours, he had sold all the tomatoes at 100% profit.",2시간만에 그는 100%의 이윤을 남기고 토마토를 전부 팔아치웠다.
"The boy said, ""Come in.""","소년이 ""들어와요.""라고 말했다."
Don't be afraid of making mistakes while you are speaking.,말하는 동안 실수하는 것에 대해 두려워하지 말라.
Then the people who follow the lead are endangering their very lives.,그렇게 되면 주도 세력을 따르는 사람들은 바로 자신들의 생명을 위험에 빠뜨리고 있는 것이다.
"Recently, psychologists studied this question and found that the man in the house has his finger on the button for 80% of the time, then the","최근에, 심리학자들은 이 문제를 연구하고, 그 집의 가장이 80%의 시간 동안 리모콘 버튼에 손가락을 올려놓고 있고, 그 다음으로 첫"
