english,korean
I said I'm sorry.,미안하다고 했잖아요.
I'm dead serious.,난 절대 농담하는게 아냐.
I'm disorganized.,나는 체계적이지 못하다.
I'm not suicidal.,나는 자살하고 싶지 않다.
I'm your teacher.,난 네 선생이다.
Is that a spider?,이거 거미야?
Is the bank open?,은행 문 열었어요?
Is the bank open?,은행 해요?
It could be true.,진짜일 수도 있어.
It was a mistake.,그건 실수였어.
It's a full moon.,보름달이야.
It's nearly dark.,거의 어두워지고 있어.
It's really loud.,정말 시끄럽네.
Listen carefully.,주의깊게 들어.
Look at the moon.,달을 봐.
Nice to meet you.,반갑습니다.
Nobody's perfect.,그 누구도 완벽하지 않는다.
Nobody's perfect.,완벽한 사람은 없어.
Nothing happened.,아무일도 없었어.
She is beautiful.,그녀는 아름답다.
Somebody laughed.,누군가 웃었어.
Someone has died.,누군가 죽었어.
Someone screamed.,누군가 비명을 질렀어.
Stop apologizing.,그만 사과해.
Stop complaining.,그만 불평해.
That is a pencil.,그거 연필이야
That made me cry.,그것 때문에 울었다.
That's very kind.,참 친절하구나.
The kids love it.,아이들이 좋아해.
There aren't any.,없다.
They disappeared.,그들은 사라졌어.
They disappeared.,그 사람들은 사라졌어.
They're amateurs.,걔네 초짜야.
They're escaping.,도망 친다.
Think about this.,생각 좀 해봐.
This is a flower.,이건 꽃이야.
This seat's free.,이 자리 비었어
Tom has kids now.,톰한텐 이제 애들이 있어.
Tom is a manager.,톰은 관리자야.
Tom is a nominee.,톰은 후보야.
Tom is an orphan.,톰은 고아야.
Tom is fantastic.,톰은 환상적이야.
"Tom is fast, too.",톰도 빨라.
Tom is real busy.,톰은 진짜 바빠.
Tom is worked up.,톰은 흥분해 있다.
Tom isn't a liar.,톰은 거짓말쟁이가 아니야.
Tom isn't skinny.,톰은 마르지 않았다.
Watch me closely.,나를 가까이서 봐.
Water the plants.,식물에 물을 주세요.
We can't give up.,우린 포기할 수 없어.
We can't give up.,포기할 수 없어요.
We'd been warned.,우린 경고 받았었어.
What do you like?,무엇을 좋아하세요?
What do you like?,뭘 좋아해?
What do you like?,뭐가 좋아?
Where is the cat?,고양이는 어딨어?
You made Tom cry.,네가 톰을 울렸어.
You'll regret it.,너 후회할거야.
You're shivering.,너 떨고 있네.
Your plan failed.,네 계획은 실패했어.
Admission is free.,입장은 무료야.
Can I borrow this?,이거 좀 빌려 줄래?
Can you handle it?,잘 해낼 수 있니?
"Champagne, please.",샴폐인 좀.
"Champagne, please.",샴폐인 부탁해.
"Champagne, please.",샴폐인 주세요.
Come and see this.,와서 이것좀 봐.
Do you have proof?,증거 있어?
Do you work alone?,혼자서 일해?
Does Tom like you?,톰은 너 좋아해?
Don't be so silly.,실없게 굴지마.
Don't even try it.,시도조차 하지마.
Everybody laughed.,전부 웃었어.
Everyone screamed.,모두 비명을 질렀어.
Everyone survived.,모두 살아남았어.
Everyone survived.,모두가 살아남았어.
Everyone survived.,모두들 살아남았어.
Exercise outdoors.,밖에서 운동해.
God bless you all.,신의 가호가 있길.
"Goodnight, Mother.",엄마 잘자.
He died yesterday.,그는 어제 죽었어
