0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
2,14,549,19,50,262,10,14,473,0,3174,32,268,19,70,262,10,14,473,0,2,1,1,1,1,1,1,1,1,1,1,1,1
2,4,24,10,13,1216,8,201,119,9,45,218,28,6,5,21,239,2435,0,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,6,7516,1099,28,46,76,1460,8,14,3109,926,1787,47,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1438,549,372,63,32,91,8,13,6,5,49,262,157,8,5,6,5,50,262,32,91,0,3,2,1,1,1,1,1,1,1,1
2,17,29,303,81,737,5174,6,5,0,16,93,268,150,70,986,8,63,20,32,91,27,1010,3,2,1,1,1,1,1,1,1,1
2,7,2804,15,858,18,77,2520,0,9,0,8,63,0,27,0,8,34,98,11,5,0,28,3,2,1,1,1,1,1,1,1,1
2,4,12,6,5,49,413,59,20,5,5221,9,231,409,0,1991,664,0,5829,0,664,116,3,2,1,1,1,1,1,1,1,1,1
2,4,12,6,5,254,10,658,9,7,15,10,1230,0,22,27,93,5288,6,14,6697,506,3,2,1,1,1,1,1,1,1,1,1
2,72,8,16,22,6,5,921,5402,8,7,15,6,5,50,127,30,54,850,9,181,27,3,2,1,1,1,1,1,1,1,1,1
2,4,12,10,13,539,0,182,10,13,322,8,16,157,8,27,301,9,6099,27,131,3,2,1,1,1,1,1,1,1,1,1,1
2,16,164,10,14,172,0,137,9,14,101,0,145,3513,34,98,11,14,152,161,30,3,2,1,1,1,1,1,1,1,1,1,1
2,4,12,19,254,36,4,586,6,5,1087,34,144,11,23,141,20,5,545,352,1596,3,2,1,1,1,1,1,1,1,1,1,1
2,2602,388,143,27,165,4,567,7,1245,36,9,4,12,19,254,7,2988,10,592,36,3,2,1,1,1,1,1,1,1,1,1,1
2,4,12,6,5,404,413,9,4,550,25,136,10,93,40,6,5,664,0,664,3,2,1,1,1,1,1,1,1,1,1,1,1
2,4,69,25,6,0,843,10,5,736,97,76,142,6,373,43,26,175,0,4334,55,3,2,1,1,1,1,1,1,1,1,1,1
2,17,509,0,83,11,23,602,9,4222,32,566,26,23,706,8,34,7,102,112,433,3,2,1,1,1,1,1,1,1,1,1,1
2,7,15,6,152,693,8,45,159,9,5,50,413,36,4,163,125,5,77,223,3,2,1,1,1,1,1,1,1,1,1,1,1
2,4,65,48,6,13,174,4011,36,4,0,9,1043,6,5,45,744,11,5,347,3,2,1,1,1,1,1,1,1,1,1,1,1
2,215,40,8,0,21,13,15,6,5,2960,39,9,152,450,8,73,7,318,118,3,2,1,1,1,1,1,1,1,1,1,1,1
2,16,3553,4245,21,6450,5136,597,32,300,6,373,43,2677,14,2031,54,108,2705,8,333,27,5174,3,2,1,1,1,1,1,1,1,1
2,16,1494,43,394,9,13,15,8,16,4,426,0,235,18,93,77,8,2505,0,479,3,2,1,1,1,1,1,1,1,1,1,1
2,4,12,10,137,145,6,16,114,34,4,243,12,6,5,45,39,22,11,74,1068,3,2,1,1,1,1,1,1,1,1,1,1
2,4,631,6,5,70,119,10,23,3589,664,0,0,0,664,30,9,37,7,1157,3,2,1,1,1,1,1,1,1,1,1,1,1
2,4,467,8,14,19,1646,108,2705,8,11,13,315,27,723,8,21,76,1274,2547,47,3,2,1,1,1,1,1,1,1,1,1,1
2,4,1846,6,5,659,0,18,690,8,14,2469,870,8,99,76,271,9,5,0,3,2,1,1,1,1,1,1,1,1,1,1,1
2,4,12,6,707,9,5,888,30,11,5,3457,194,34,388,11,32,7525,52,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2,4,176,24,10,0,490,187,6,5,50,2219,155,19,117,9,36,18,0,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2,7,322,59,11,23,494,57,32,122,34,54,850,4,12,10,76,0,30,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2,4,48,6,13,49,88,709,10,13,80,34,230,46,5,0,19,122,155,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2,104,29,8,42,21,204,10,0,8,52,11,13,233,9,0,2552,1041,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,17,24,1210,7,6,233,9,16,100,6,1738,1211,6679,22,4,140,11,5001,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2,4,0,2652,13,15,11,5,337,7,3490,8,34,98,11,602,0,575,1370,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2,17,64,8,4,25,6,5,101,413,9,4,24,6,3639,256,0,8,1652,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2,12,593,39,636,26,5,802,6,16,480,34,42,44,20,13,112,1083,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,0,10,13,1506,37,11,14,33,34,7,15,10,13,45,128,433,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,65,387,210,28,11,32,2757,9,992,2815,303,350,19,85,0,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,1782,25,6,45,218,8,5,3006,413,9,50,1885,37,815,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,61,4,5428,10,104,2635,1433,9,5,3015,1047,12,457,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0,28,19,85,34,4,95,12,10,5,49,476,41,23,206,1596,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,17,72,6,4781,0,8,43,233,9,43,0,8,51,11,13,33,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,4243,172,195,15,10,5,50,200,61,26,7631,293,19,85,86,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,25,15,9,4,12,6,0,0,26,13,35,19,85,10,3436,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,48,695,22,41,7,2252,55,205,9,529,3372,34,7,492,433,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,6,5,70,413,30,10,5,634,0,26,22,20,5,106,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,38,24,6,576,410,38,24,6,554,55,34,38,24,6,233,433,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,15,6,5,49,39,287,11,5,50,194,8,38,20,32,293,71,4569,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2,7,15,28,11,5,81,134,8,36,18,50,31,9,180,11,18,152,31,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2,7,363,999,126,17,111,7452,20,13,930,810,10,226,205,62,38,2473,58,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2,7,15,6,5,49,696,68,108,668,54,90,118,8,63,18,91,27,1254,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2,4,24,30,10,5,1837,79,11,5,2792,86,34,4,5306,24,4,147,67,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2,7,15,67,4,208,21,5,163,10,198,284,8,38,21,5,12,2556,107,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2,7,15,6,5,202,4965,9,10,13,70,1216,28,6,5,335,6,14,760,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2,4,48,6,233,9,4,48,6,231,51,11,13,1993,2260,46,5,294,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,6,5,2960,39,30,11,23,117,9,4,91,47,6,14,89,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,15,30,26,293,19,85,11,5,226,77,706,9,168,6,16,114,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,42,29,6,270,9,231,256,1872,8,50,197,9,10,70,523,186,866,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,0,6,5,70,209,9,179,855,1427,34,16,114,11,32,31,0,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,66,3968,0,6,5,49,413,9,113,179,894,41,13,911,11,23,998,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2,17,25,29,136,11,5,226,111,365,265,4754,8,14,21,5,194,932,107,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2,4,0,1765,854,8,160,2238,230,138,362,2750,5324,8,475,1259,6,0,0,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,6,5,70,39,9,159,28,11,23,494,9,145,6,16,114,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,6,5,101,209,0,11,4,583,8,4,25,19,4285,181,27,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,42,72,52,20,5,1349,26,5,103,8,38,165,14,7579,4737,801,47,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,15,9,4,48,838,22,34,38,48,3868,8,754,98,336,613,4232,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,6,5,1197,262,36,528,0,9,266,22,11,32,5135,26,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,593,39,6,70,218,28,20,13,930,810,46,5,77,347,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,15,6,5,70,7464,10,5,0,145,665,26,524,6,16,480,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,5366,15,10,248,70,187,6,5,198,413,10,2163,60,2922,11,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,67,18,625,11,23,86,8,58,23,144,11,23,0,684,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,25,6,5,70,413,9,10,49,0,332,1344,34,100,72,452,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,875,12,10,299,597,26,5,79,10,137,16,4565,6,16,89,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,42,29,51,11,13,135,8,13,21,204,60,0,9,36,7,128,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,24,6,113,5121,10,14,473,0,11,23,262,82,41,18,431,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,69,25,37,10,0,8,351,9,0,34,7,329,333,1604,289,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,53,51,6,13,990,506,8,14,1214,130,47,57,38,247,27,143,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,16,17,120,8,13,10,5,503,19,290,8,156,57,2133,117,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,30,20,5,1349,10,5,1882,9,2564,0,460,26,22,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,3375,10,284,9,224,477,60,7,191,9,168,26,5,335,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,15,82,108,1580,99,5,0,1150,2156,34,16,0,22,3702,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,6,477,9,4,12,6,5,45,39,51,26,5,365,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,95,12,6,5,45,413,61,6,13,545,611,41,4,378,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,17,29,8,13,6,172,9,231,9,13,6,270,8,56,2255,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1179,7233,18,12,8,14,16,3113,55,76,712,344,63,27,0,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,6,5,202,413,68,41,16,1153,13,1413,6,14,905,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,781,61,7,1685,118,9,717,0,108,2705,8,18,625,27,166,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,69,25,10,13,45,284,145,57,4,1076,34,4,243,25,433,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,3165,48,10,137,36,4,384,48,6,5,49,570,9,101,707,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,14,0,3885,58,5,5929,8,27,23,5646,0,8,7130,9,0,1128,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,15,11,5,193,1991,664,4489,0,664,442,242,6223,253,62,1698,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,1802,32,142,43,93,394,99,504,9,1437,175,253,206,621,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,176,24,6,5,2960,78,47,54,90,9,82,6,373,150,2362,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,164,6,5,5011,7448,9,159,30,10,32,288,11,171,914,2149,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,35,502,68,58,520,6,16,89,9,67,0,4954,84,16,114,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,95,12,30,11,5,185,8,36,131,276,9,211,11,14,1111,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,3324,6,231,9,4,65,24,6,5,101,127,56,10,0,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,2466,48,36,74,118,8,5325,16,72,11,23,208,2023,83,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,35,383,64,6,50,376,9,0,461,7,2711,26,13,422,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,314,15,6,5,3270,10,1449,211,10,126,2504,11,13,359,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,15,6,5,2960,4965,9,13,482,680,18,106,10,5,5064,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,451,6,5,50,262,10,14,473,1438,11,23,316,37,214,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,4472,271,12,60,4,2998,387,39,9,61,86,11,14,33,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,2378,95,12,326,55,5,921,8,14,165,7,15,0,47,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,15,6,172,60,4,65,24,6,5,101,127,11,126,778,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,8,14,739,160,2238,144,0,166,8,26,0,0,62,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,6,5,101,39,9,4,12,6,5,1324,39,184,22,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,15,30,26,171,386,10,13,45,555,9,403,16,2542,89,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,8,14,3109,58,5,937,0,8,180,17,1130,99,277,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,173,15,9,4,65,48,6,5,647,413,56,10,340,0,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,25,15,10,5,0,989,41,23,206,821,11,5,1139,1614,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,240,6,13,101,88,107,11,4,103,2840,8,63,27,178,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,104,29,83,19,87,9,346,21,14,81,359,8,11,14,98,51,8,153,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2,4,737,21,1649,61,63,16,978,34,6,388,14,109,1550,9,447,166,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,226,69,25,6,5,81,413,155,10,23,206,99,504,11,5,50,507,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,549,6,231,59,6,16,1138,34,4,268,6,270,11,333,27,82,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,28,11,13,339,33,9,181,22,10,6,32,6838,0,142,63,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,80,10,1625,36,74,8,754,165,4,0,3949,739,8,20,18,0,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,635,194,1363,148,142,57,18,319,9,157,8,20,38,117,27,1010,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,149,31,11,5,281,711,22,27,74,496,150,2076,63,8,367,19,85,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,8,14,55,13,101,797,326,8,343,21,53,11,13,1098,512,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,320,662,54,850,14,33,8,16,27,5,77,281,19,5783,217,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,61,11,13,33,185,34,175,4,243,12,303,494,55,433,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,15,10,2960,187,695,22,11,23,141,153,9,36,17,0,120,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,35,0,0,8,1026,926,173,40,8,553,6,5,154,4461,27,22,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,17,29,136,6,2590,8,43,554,9,38,100,233,8,18,294,936,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,95,12,10,248,187,61,20,5,1372,199,185,11,23,378,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,15,821,26,279,8,16,38,406,62,564,8,11,5,1063,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,15,6,5,49,413,371,126,300,6,373,14,504,0,422,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,6,5,81,413,2204,54,90,10,148,1885,6,14,80,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,6991,195,15,28,20,5,1487,9,0,235,3674,41,74,7736,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,35,21,241,858,0,8,63,4,193,55,23,62,27,1577,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,30,11,13,161,34,144,148,31,36,9,1266,62,145,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,38,47,4,576,228,12,8,14,4,1089,194,20,14,559,36,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,15,9,7,31,52,11,13,50,161,6,14,109,43,4126,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,0,0,6,5,45,9,2960,474,1017,7,1686,10,23,229,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,17,40,52,305,7,188,1134,20,5,106,19,87,9,166,1546,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,69,25,6,5,231,256,413,9,10,5,1586,36,18,1077,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,17,44,186,22,41,18,106,20,32,288,9,301,6,16,114,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,0,157,8,0,27,166,34,144,21,17,0,27,121,0,107,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,68,6,16,89,9,211,84,1280,8,16,11,23,121,488,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,567,30,11,23,258,9,251,8,818,16,2051,11,517,68,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,17,79,393,7,33,6,13,151,34,98,10,5,49,214,56,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,67,1160,10,5,604,274,8,38,11,131,86,4577,47,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,0,67,18,940,34,144,58,1825,2123,20,5,391,932,107,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,157,8,18,79,1419,21,5,194,55,10,23,391,27,323,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,984,12,8,14,20,5,106,6,76,386,10,5,1511,158,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,104,716,6,172,5174,19,594,18,268,14,806,560,6,231,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,17,79,6,962,143,192,367,118,9,4217,10,32,441,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,6,5,70,119,37,1157,11,5,4168,101,0,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,9,17,24,10,3575,26,5,347,186,18,575,118,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,12,6,5,1112,2832,28,20,14,3014,10,5,4597,214,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,10,1196,9,369,36,7,2366,8,55,14,2537,0,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,95,12,6,5,50,119,9,6267,218,28,11,5,6941,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,17,0,14,0,3295,19,396,283,8,343,21,17,2235,0,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,11,5,790,26,5,386,168,9,211,84,32,1280,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,11,929,147,5890,7,3515,322,41,7,2850,33,6,14,151,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,14,31,10,23,49,719,4778,32,31,10,23,45,719,20,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,17,25,29,55,764,3744,458,11,5,3745,32,91,27,1446,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,25,37,10,5,551,496,150,2076,164,34,4,24,433,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,215,72,6,5317,9,10,826,51,19,122,10,0,19,85,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,15,6,13,101,482,344,32,3666,21,5,77,1500,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,42,40,73,18,0,118,8,7,402,145,11,124,114,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,167,112,28,6,5,154,139,9,220,56,11,895,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,17,29,458,22,55,23,62,11,18,3026,55,0,0,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,1377,12,10,369,8,137,9,6306,30,11,23,117,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,60,7,167,3315,21,0,11,196,725,57,4,0,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,14,532,0,38,208,8,38,175,16,15,19,45,39,180,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,66,181,192,652,11,5,106,10,5,785,9,13,2187,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,65,48,6,233,181,27,293,8,16,6,14,480,51,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,15,6,5,49,450,59,11,14,33,10,385,19,85,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,129,12,10,13,459,19,466,9,13,284,2886,138,114,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,12,10,191,800,4,0,9,2618,2341,11,32,121,283,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,24,6,231,9,43,6,517,73,20,13,45,0,116,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,24,10,13,848,287,11,32,778,43,394,57,7,112,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,42,29,6,340,533,8,6935,9,0,1152,73,11,16,33,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,35,21,241,9,4,48,6,50,218,51,11,14,33,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,25,9,4,24,51,613,11,23,494,9,479,18,455,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,3050,12,975,460,55,13,788,6,32,466,43,79,394,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,17,29,6,0,96,9,693,51,46,13,77,8,2649,1362,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,42,79,6,81,1872,9,152,197,257,11,23,78,13,561,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
