지역코드,성별,신용대출,담보대출
4100000046,1,823360,7188452
4100000046,2,820263,5917371
4100000047,1,265581,4995855
4100000047,2,543514,3833915
4100000048,1,574770,1899146
4100000048,2,647280,5150431
4100000049,1,931941,7339644
4100000049,2,894774,5945600
4100000050,1,436967,1506253
4100000050,2,416843,4013247
4100000051,1,267454,9831307
4100000051,2,281950,7659448
4100000052,1,590326,4733289
4100000052,2,975638,6900719
4100000053,1,781738,3864416
4100000053,2,983640,1080561
4100000054,1,911190,5260419
4100000054,2,566693,8634228
4100000055,1,397655,5416340
4100000055,2,222822,5765448
4100000056,1,252721,9580238
4100000056,2,248301,8650072
4100000057,1,959284,6862784
4100000057,2,312081,1212686
4100000058,1,247395,2235703
4100000058,2,839731,1278935
4100000059,1,678674,7401873
4100000059,2,669811,3030855
4100000060,1,812264,4643722
4100000060,2,905944,3751421
4100000061,1,816960,5843628
4100000061,2,196204,4655544
4100000062,1,106602,3490935
4100000062,2,646933,9260572
4100000063,1,909094,716118
4100000063,2,181004,2606462
4100000064,1,387166,3651102
4100000064,2,279014,2246251
4100000065,1,313375,4577543
4100000065,2,480169,7648764
4100000066,1,184967,8258667
4100000066,2,914130,4007232
4100000067,1,837754,6123163
4100000067,2,646002,6240696
4100000068,1,438929,9208187
4100000068,2,892501,3680668
4100000069,1,491949,3679125
4100000069,2,346963,8681684
4100000070,1,387505,7639440
4100000070,2,603697,3798910
4100000071,1,411066,3457055
4100000071,2,333414,1383445
4100000072,1,969468,9837841
4100000072,2,865017,8071129
4100000073,1,145437,8988393
4100000073,2,802583,4408078
4100000074,1,407783,8456938
4100000074,2,597781,3818280
4100000075,1,980863,4517385
4100000075,2,920070,6417105
4100000076,1,396038,6978735
4100000076,2,676531,9536599
4100000077,1,267343,9321800
4100000077,2,920519,1327284
4100000078,1,546190,4851481
4100000078,2,155661,3716222
4100000079,1,756406,7933957
4100000079,2,400725,8479557
4100000080,1,840462,7965291
4100000080,2,128295,7202179
4100000081,1,723867,6730967
4100000081,2,186063,7977383
4100000082,1,520450,9004865
4100000082,2,937775,1962172
4100000083,1,358065,6034053
4100000083,2,262605,5286139
4100000084,1,256575,8698850
4100000084,2,197030,8653762
4100000085,1,510412,6295436
4100000085,2,846997,4377797
4100000086,1,142937,2595144
4100000086,2,738105,801718
4100000087,1,720810,3153734
4100000087,2,444433,2661780
4100000088,1,489263,4706850
4100000088,2,982926,6437269
4100000089,1,551633,1760637
4100000089,2,197953,7436184
4100000090,1,381994,2615951
4100000090,2,935773,8068780
4100000091,1,844699,7845634
4100000091,2,612683,6647370
4100000092,1,132099,9767655
4100000092,2,223478,2540514
4100000093,1,869042,2196724
4100000093,2,866905,5861884
4100000094,1,596655,1678801
4100000094,2,335761,9074968
4100000095,1,119562,6706116
4100000095,2,417455,7323808
4100000096,1,903667,1809523
4100000096,2,648602,3412313
4100000097,1,324810,6222860
4100000097,2,903617,3221609
4100000098,1,766558,1116955
4100000098,2,851770,3709589
4100000099,1,497679,6037861
4100000099,2,555133,8727561
4100000100,1,863955,7249145
4100000100,2,996418,5924250
4100000101,1,402124,3538056
4100000101,2,341120,9240855
4100000102,1,307739,9734456
4100000102,2,327127,7621625
4100000103,1,273410,1089735
4100000103,2,990132,6334295
4100000104,1,451041,9607037
4100000104,2,331427,8971681
4100000105,1,397330,8099500
4100000105,2,861076,3417294
4100000106,1,769750,8590137
4100000106,2,531413,8348359
4100000107,1,141338,7687945
4100000107,2,763755,6633061
4100000108,1,511435,8252155
4100000108,2,861859,3920946
4100000109,1,451874,2701907
4100000109,2,669493,8057774
4100000110,1,739942,9630568
4100000110,2,297183,9808971
4100000111,1,743808,6191310
4100000111,2,538247,5973834
4100000112,1,261536,1965369
4100000112,2,882381,7330781
4100000113,1,231698,9724143
4100000113,2,469294,4754982
4100000114,1,953121,7979662
4100000114,2,422263,5494534
4100000115,1,763136,9213698
4100000115,2,150116,7391726
4100000116,1,736390,3451628
4100000116,2,873329,7722441
4100000117,1,829530,3501480
4100000117,2,666584,7204745
4100000118,1,185255,4671779
4100000118,2,498129,3665502
4100000119,1,285363,8927109
4100000119,2,971918,6530358
4100000120,1,349245,5530760
4100000120,2,984392,6919605
4100000121,1,327343,4121693
4100000121,2,322017,7181267
4100000122,1,870997,2347377
4100000122,2,328734,4141849
4100000123,1,219127,7271452
4100000123,2,256993,853932
4100000124,1,728355,2554947
4100000124,2,162005,9135626
4100000125,1,755129,4116261
4100000125,2,713371,3060588
4100000126,1,789242,8186442
4100000126,2,588667,5007617
4100000127,1,560083,6714660
4100000127,2,121445,1554307
4100000128,1,340907,7483035
4100000128,2,151154,4596749
4100000129,1,105867,8206104
4100000129,2,527003,2872257
4100000130,1,902793,2633149
4100000130,2,801847,6483331
4100000131,1,484292,3552434
4100000131,2,662964,6595086
4100000132,1,220859,1028016
4100000132,2,588589,1470940
4100000133,1,271183,5487069
4100000133,2,773548,1298912
4100000134,1,147037,6427568
4100000134,2,172632,2174794
4100000135,1,369034,9521102
4100000135,2,875779,8307383
4100000136,1,106652,7937439
4100000136,2,949186,8678736
4100000137,1,198851,4057149
4100000137,2,830510,667580
4100000138,1,879887,3371310
4100000138,2,615099,1230797
4100000139,1,688367,1064709
4100000139,2,165006,1814544
4100000140,1,237679,2428902
4100000140,2,947359,1853276
4100000141,1,431556,9963734
4100000141,2,933951,1895699
4100000142,1,975407,5105107
4100000142,2,676834,3770551
4100000143,1,926508,6764184
4100000143,2,729675,7154210
4100000144,1,698238,1606894
4100000144,2,307328,3508177
4100000145,1,418633,2769640
4100000145,2,989886,6263056
4100000146,1,807409,5355348
4100000146,2,635159,3686863
4100000147,1,696080,2797115
4100000147,2,690211,7780212
4100000148,1,658330,7242942
4100000148,2,216471,1002978
4100000149,1,809164,1280349
4100000149,2,349768,8597529
4100000150,1,535878,9392421
4100000150,2,443296,6817062
4100000151,1,724089,1640320
4100000151,2,851105,1718992
4100000152,1,294710,5402635
4100000152,2,967963,9271318
4100000153,1,201657,5398731
4100000153,2,905216,7196759
4100000154,1,396455,5635011
4100000154,2,108554,2421397
4100000155,1,946827,3706905
4100000155,2,273097,2527025
4100000156,1,942724,891194
4100000156,2,472738,4122361
4100000157,1,675509,4252132
4100000157,2,416843,525402
4100000158,1,438079,7353506
4100000158,2,256904,3540664
4100000159,1,199195,4179786
4100000159,2,797160,7162804
4100000160,1,482068,6777019
4100000160,2,511829,2029196
4100000161,1,302450,9427323
4100000161,2,964556,4224676
4100000162,1,937199,9658372
4100000162,2,126127,7688525
4100000163,1,964223,9991009
4100000163,2,273765,2462424
4100000164,1,655984,7959746
4100000164,2,403361,8231206
4100000165,1,989585,3118090
4100000165,2,400778,6700964
4100000166,1,579657,6381697
4100000166,2,575423,6672120
4100000167,1,896729,9320106
4100000167,2,961432,803530
4100000168,1,551192,5978652
4100000168,2,462954,6425917
4100000169,1,215489,9141734
4100000169,2,727626,1432289
4100000170,1,484418,5431183
4100000170,2,971613,3519214
4100000171,1,111721,3771954
4100000171,2,955896,5463194
4100000172,1,739907,5077155
4100000172,2,411206,9792648
4100000173,1,713471,1527558
4100000173,2,762341,4748189
4100000174,1,115924,9827660
4100000174,2,741907,1330180
4100000175,1,205275,7871265
4100000175,2,169560,6157156
4100000176,1,262754,7384668
4100000176,2,478022,1157102
4100000177,1,882613,3830427
4100000177,2,616985,7181211
4100000178,1,603902,2759280
4100000178,2,748896,7873469
4100000179,1,854661,538025
4100000179,2,816676,2412011
4100000180,1,968571,3385935
4100000180,2,823240,5059683
4100000181,1,897139,8817993
4100000181,2,624665,2082116
4100000182,1,750968,599457
4100000182,2,399961,4559430
4100000183,1,841465,6829028
4100000183,2,603164,7306650
4100000184,1,753941,5618133
4100000184,2,234884,4921345
4100000185,1,709629,2069494
4100000185,2,816142,5477060
4100000186,1,457009,5286473
4100000186,2,781766,5242558
4100000187,1,389839,5104115
4100000187,2,461045,5053395
4100000188,1,196372,9721857
4100000188,2,395730,3347536
4100000189,1,298637,9475564
4100000189,2,857929,4420499
4100000190,1,651388,7678950
4100000190,2,599720,5257469
4100000191,1,581772,9665009
4100000191,2,753418,9347069
4100000192,1,747886,6511653
4100000192,2,962093,6117770
4100000193,1,366621,2916148
4100000193,2,544953,5232476
4100000194,1,672514,7033664
4100000194,2,537110,589612
4100000195,1,313017,1725120
4100000195,2,391498,812726
4100000196,1,753777,1593086
4100000196,2,235522,9242180
4100000197,1,591573,9721040
4100000197,2,624046,6668531
4100000198,1,801005,5408381
4100000198,2,764370,9648224
4100000199,1,229908,2145098
4100000199,2,396264,1054901
4100000200,1,570816,1639203
4100000200,2,590485,5840342
4100000201,1,632766,6586438
4100000201,2,578815,5806758
4100000202,1,880138,6964022
4100000202,2,438555,4609773
4100000203,1,332187,7054581
4100000203,2,566853,2414019
4100000204,1,926686,4804312
4100000204,2,852795,1903296
4100000205,1,200140,5624154
4100000205,2,481611,8677263
4100000206,1,191446,4397929
4100000206,2,889932,1990231
4100000207,1,869908,3136504
4100000207,2,616644,3859898
4100000208,1,541496,7073926
4100000208,2,998438,1898006
4100000209,1,340115,2311134
4100000209,2,124158,5201054
4100000210,1,679821,3288175
4100000210,2,549978,6775414
4100000211,1,952926,3084012
4100000211,2,942139,3932651
4100000212,1,610572,8193528
4100000212,2,232020,7881780
4100000213,1,173631,9385806
4100000213,2,794006,6994294
4100000214,1,620323,2277765
4100000214,2,399828,3138595
4100000215,1,164463,2704114
4100000215,2,636498,7722650
4100000216,1,909334,8977815
4100000216,2,738211,1030571
4100000217,1,849089,1323151
4100000217,2,159513,2287366
4100000218,1,386094,556518
4100000218,2,406986,8246990
4100000219,1,118501,5311809
4100000219,2,270059,9626408
4100000220,1,208029,4577962
4100000220,2,857068,9779963
4100000221,1,688162,3877392
4100000221,2,735370,3691242
4100000222,1,235292,7220256
4100000222,2,492454,7938836
4100000223,1,259006,1861547
4100000223,2,378463,7015506
4100000224,1,452028,3996471
4100000224,2,419446,5810313
4100000225,1,150863,501229
4100000225,2,289891,9181056
4100000226,1,278535,7067017
4100000226,2,235654,7779322
4100000227,1,233435,8878694
4100000227,2,403472,1681240
4100000228,1,260586,5706488
4100000228,2,155837,6528278
4100000229,1,490006,8139132
4100000229,2,115222,1897072
4100000230,1,698549,4841814
4100000230,2,446587,2936121
4100000231,1,218536,5184890
4100000231,2,836255,2291936
4100000232,1,185215,7442215
4100000232,2,597136,4138260
4100000233,1,330431,1095129
4100000233,2,271001,8353879
4100000234,1,765965,8554122
4100000234,2,651050,6528764
4100000235,1,419106,6402053
4100000235,2,608431,6886004
4100000236,1,169759,9085154
4100000236,2,592397,8597893
4100000237,1,333692,6967896
4100000237,2,437991,7797795
4100000238,1,854138,5837615
4100000238,2,494514,6400750
4100000239,1,154048,3060214
4100000239,2,687634,7710759
4100000240,1,821941,2930841
4100000240,2,261715,8213511
4100000241,1,763535,9321004
4100000241,2,459753,3664062
4100000242,1,111566,9355978
4100000242,2,333044,2179519
4100000243,1,561556,8843865
4100000243,2,454255,2671721
4100000244,1,990848,8258035
4100000244,2,124159,7778454
4100000245,1,493288,2840008
4100000245,2,893512,5461638
4100000246,1,981240,2327630
4100000246,2,351338,8883147
4100000247,1,675378,1117122
4100000247,2,984799,4430653
4100000248,1,220409,4043391
4100000248,2,142432,1723015
4100000249,1,463384,5755630
4100000249,2,901291,9799516
4100000250,1,568427,8230770
4100000250,2,812844,5974654
4100000251,1,977733,1120513
4100000251,2,175925,2118726
4100000252,1,258123,2442933
4100000252,2,441177,4777787
4100000253,1,844170,9324898
4100000253,2,938597,5983013
4100000254,1,169153,3471171
4100000254,2,713508,7803999
4100000255,1,973255,4437102
4100000255,2,542565,6489755
4100000256,1,612049,2975686
4100000256,2,853970,2299868
4100000257,1,349309,8986443
4100000257,2,514052,591371
4100000258,1,604482,3800120
4100000258,2,968641,3650184
4100000259,1,562237,862933
4100000259,2,402994,3641113
4100000260,1,750527,588702
4100000260,2,102717,7849156
4100000261,1,684957,4276350
4100000261,2,108845,9153614
4100000262,1,429708,2294058
4100000262,2,821652,3845282
4100000263,1,628952,879860
4100000263,2,241943,3175728
4100000264,1,213697,3852774
4100000264,2,597367,1142343
4100000265,1,936568,2104428
4100000265,2,815001,7782127
4100000266,1,850355,3662723
4100000266,2,408522,8372672
4100000267,1,462382,4188657
4100000267,2,766599,9978317
4100000268,1,385805,3635985
4100000268,2,312445,4548038
4100000269,1,871129,2835807
4100000269,2,835696,8889729
4100000270,1,950399,1629795
4100000270,2,870352,5842036
4100000271,1,166584,8591237
4100000271,2,800833,6359893
4100000272,1,941970,6707665
4100000272,2,409706,8273803
4100000273,1,879054,1811799
4100000273,2,217255,2822977
4100000274,1,150951,2504515
4100000274,2,634170,6960977
4100000275,1,113147,4925595
4100000275,2,512247,1218811
4100000276,1,641535,540621
4100000276,2,721520,5706217
4100000277,1,801673,3432141
4100000277,2,913728,4327190
4100000278,1,680641,7719659
4100000278,2,794514,6744326
4100000279,1,544879,1459099
4100000279,2,509102,924744
4100000280,1,644936,9445051
4100000280,2,786532,8569293
4100000281,1,733175,5800521
4100000281,2,305322,4188083
4100000282,1,424126,8240532
4100000282,2,519905,5423558
4100000283,1,958514,3044058
4100000283,2,222163,7794192
4100000284,1,769330,4304688
4100000284,2,162338,1626702
4100000285,1,318680,3518248
4100000285,2,161838,1084055
4100000286,1,655130,7309313
4100000286,2,882307,1998568
4100000287,1,874930,7679183
4100000287,2,606080,9170154
4100000288,1,111732,2291599
4100000288,2,730546,7959610
4100000289,1,395802,2260981
4100000289,2,405284,4311219
4100000290,1,249528,6669791
4100000290,2,341571,9409463
4100000291,1,138882,6508951
4100000291,2,915862,5625360
4100000292,1,290682,9368132
4100000292,2,588811,3082062
4100000293,1,542559,2004086
4100000293,2,340015,4476550
4100000294,1,237122,8591194
4100000294,2,867144,1199454
4100000295,1,445878,3909476
4100000295,2,719525,2907903
4100000296,1,278277,1207483
4100000296,2,415258,5959805
4100000297,1,641838,7795192
4100000297,2,126936,1406979
4100000298,1,292168,3102489
4100000298,2,164349,4074011
4100000299,1,980913,7880902
4100000299,2,817427,6928307
4100000300,1,652070,4360009
4100000300,2,239969,8321653
4100000301,1,708005,3930404
4100000301,2,935041,1700325
4100000302,1,583860,6854390
4100000302,2,241561,6658755
4100000303,1,364063,1997623
4100000303,2,162303,9785918
4100000304,1,336143,6668771
4100000304,2,615877,2297160
4100000305,1,145463,7575736
4100000305,2,363163,6364847
4100000306,1,320431,1239391
4100000306,2,960041,1449786
4100000307,1,811713,5445684
4100000307,2,941989,9446301
4100000308,1,680075,5253306
4100000308,2,389763,1864967
4100000309,1,306289,3991076
4100000309,2,263904,597375
4100000310,1,752473,4697150
4100000310,2,475130,4243007
4100000311,1,389672,2802448
4100000311,2,170251,6036091
4100000312,1,214971,2665955
4100000312,2,394381,1850298
4100000313,1,858240,7453190
4100000313,2,622107,8593387
4100000314,1,611775,7560730
4100000314,2,705494,6980886
4100000315,1,815591,6274212
4100000315,2,584772,4539168
4100000316,1,295709,567601
4100000316,2,412096,1445250
4100000317,1,542683,1285536
4100000317,2,507583,862981
4100000318,1,506111,6959837
4100000318,2,975805,7343147
4100000319,1,137099,679152
4100000319,2,425754,1164160
4100000320,1,594080,2065891
4100000320,2,154577,9532527
4100000321,1,115221,6533645
4100000321,2,830807,6781186
4100000322,1,278408,3568089
4100000322,2,152351,7304793
4100000323,1,122936,5458679
4100000323,2,181799,9674031
4100000324,1,337196,4435535
4100000324,2,103647,3055456
4100000325,1,841912,7119339
4100000325,2,900504,5532747
4100000326,1,429230,1289371
4100000326,2,592857,5253439
4100000327,1,183794,884607
4100000327,2,675445,3879249
4100000328,1,800973,7544231
4100000328,2,431618,5221497
4100000329,1,201839,6388085
4100000329,2,239384,8889676
4100000330,1,287777,7103480
4100000330,2,497989,1916172
4100000331,1,588251,8194340
4100000331,2,349998,9504000
4100000332,1,443864,5257480
4100000332,2,315956,2553653
4100000333,1,225836,3674038
4100000333,2,815709,4146690
4100000334,1,759793,8830381
4100000334,2,280556,1820363
4100000335,1,190473,1880680
4100000335,2,518741,6185810
4100000336,1,812407,5640761
4100000336,2,452663,3135409
4100000337,1,846547,5692801
4100000337,2,746714,6862628
4100000338,1,975467,6734947
4100000338,2,453792,9345238
4100000339,1,512209,4422820
4100000339,2,354728,1137936
4100000340,1,727330,6355350
4100000340,2,471927,1873311
4100000341,1,595668,9272264
4100000341,2,848860,596186
4100000342,1,752165,4509668
4100000342,2,152741,4619005
4100000343,1,902538,6278304
4100000343,2,655022,557157
4100000344,1,405880,7243691
4100000344,2,522323,2283415
4100000345,1,832673,8045413
4100000345,2,577458,3800951
4100000346,1,329899,7465178
4100000346,2,421125,9123323
4100000347,1,387294,7489670
4100000347,2,366382,4934387
4100000348,1,947877,2288619
4100000348,2,757893,9924142
4100000349,1,438249,4500946
4100000349,2,617020,7556571
4100000350,1,289598,3492004
4100000350,2,458101,3582741
4100000351,1,653825,7161360
4100000351,2,554376,9686481
4100000352,1,555943,1775407
4100000352,2,937563,3627203
4100000353,1,678077,6974569
4100000353,2,694135,7636264
4100000354,1,104546,1440331
4100000354,2,776840,8030905
4100000355,1,925205,5708822
4100000355,2,203188,6297285
4100000356,1,596231,6904231
4100000356,2,889983,3525698
4100000357,1,636573,9332164
4100000357,2,277737,3877682
4100000358,1,618593,6839793
4100000358,2,486335,5431390
4100000359,1,981373,9632910
4100000359,2,943518,3083820
4100000360,1,431444,7285383
4100000360,2,903626,6527672
4100000361,1,976938,5575220
4100000361,2,292721,8029502
4100000362,1,899883,6089772
4100000362,2,902960,9361512
4100000363,1,761314,8468900
4100000363,2,321001,9299877
4100000364,1,146420,6815447
4100000364,2,239814,7844281
4100000365,1,382081,6100439
4100000365,2,307115,7491599
4100000366,1,243137,8336684
4100000366,2,821897,9374572
4100000367,1,355137,4162133
4100000367,2,583567,1290204
4100000368,1,501070,2098982
4100000368,2,938346,1884272
4100000369,1,699416,1488047
4100000369,2,479927,9183749
4100000370,1,834521,9844994
4100000370,2,233310,5143168
4100000371,1,659512,1869072
4100000371,2,588869,1743257
4100000372,1,891193,5486469
4100000372,2,732887,647276
4100000373,1,186370,4826249
4100000373,2,801732,9095730
4100000374,1,607486,2990749
4100000374,2,455772,7402958
4100000375,1,511267,4032971
4100000375,2,203219,6319228
4100000376,1,710455,1436784
4100000376,2,214775,5645795
4100000377,1,439468,4298324
4100000377,2,649054,4058767
4100000378,1,640274,3219835
4100000378,2,764858,2396685
4100000379,1,434927,1077397
4100000379,2,245243,5168576
4100000380,1,271600,1077202
4100000380,2,562426,6619280
4100000381,1,269049,4466175
4100000381,2,358551,2167397
4100000382,1,860935,4220323
4100000382,2,463045,7316186
4100000383,1,639037,9442805
4100000383,2,337225,645505
4100000384,1,273610,7042828
4100000384,2,476080,7323484
4100000385,1,936353,3016270
4100000385,2,860292,2739708
4100000386,1,621467,6033342
4100000386,2,118687,8280413
4100000387,1,847824,4840758
4100000387,2,251947,8168127
4100000388,1,595721,1565752
4100000388,2,905961,3052512
4100000389,1,199161,7255768
4100000389,2,899503,8169757
4100000390,1,350825,2925996
4100000390,2,714350,9032757
4100000391,1,624252,3706794
4100000391,2,950367,6068432
4100000392,1,672913,9139723
4100000392,2,766040,9941471
4100000393,1,776666,5173632
4100000393,2,311618,1080147
4100000394,1,725736,7507665
4100000394,2,413280,5343866
4100000395,1,571125,2877258
4100000395,2,627354,3334207
4100000396,1,203981,2257064
4100000396,2,866846,838592
4100000397,1,910077,1323671
4100000397,2,627649,2718340
4100000398,1,169794,1664976
4100000398,2,181935,7462343
4100000399,1,817655,5552798
4100000399,2,297445,1247028
4100000400,1,468506,7160968
4100000400,2,974675,9040213
4100000401,1,378496,4316573
4100000401,2,301762,6869391
4100000402,1,302276,3310254
4100000402,2,210789,4614467
4100000403,1,269378,2830798
4100000403,2,555023,3969882
4100000404,1,440207,1712624
4100000404,2,788479,9334000
4100000405,1,705573,4994901
4100000405,2,917743,4162286
4100000406,1,620554,5152801
4100000406,2,864555,3131639
4100000407,1,157913,5664476
4100000407,2,440758,3965007
4100000408,1,685993,8345726
4100000408,2,258632,683987
4100000409,1,902206,2442154
4100000409,2,234251,9067116
4100000410,1,243764,7632548
4100000410,2,536866,2485227
4100000411,1,870446,9928094
4100000411,2,127349,2885154
4100000412,1,464624,8532466
4100000412,2,869124,2810649
4100000413,1,979325,3911955
4100000413,2,224453,6059126
4100000414,1,438929,7587244
4100000414,2,493459,3071678
4100000415,1,720963,5449987
4100000415,2,204652,6588739
4100000416,1,897125,5484522
4100000416,2,821045,6492490
4100000417,1,251637,5913787
4100000417,2,589632,1644527
4100000418,1,386671,1417605
4100000418,2,923034,7065076
4100000419,1,698488,7313407
4100000419,2,789944,4927848
4100000420,1,612096,6774030
4100000420,2,992697,5365865
4100000421,1,858150,6757884
4100000421,2,369482,7162333
4100000422,1,955654,500619
4100000422,2,388588,8118616
4100000423,1,121743,1528680
4100000423,2,987750,9713080
4100000424,1,250449,9775756
4100000424,2,205468,890570
4100000425,1,442463,2862492
4100000425,2,110899,2035572
4100000426,1,939094,7277976
4100000426,2,859377,5917868
4100000427,1,323098,8038557
4100000427,2,567637,1470561
4100000428,1,861469,818197
4100000428,2,726381,5106665
4100000429,1,892797,6610376
4100000429,2,985587,3632825
4100000430,1,283834,9244972
4100000430,2,266564,7570321
4100000431,1,780418,3573330
4100000431,2,807070,2573712
4100000432,1,992001,7515727
4100000432,2,796291,6082316
4100000433,1,970092,1208026
4100000433,2,711456,3042700
4100000434,1,418208,4277629
4100000434,2,184023,7084257
4100000435,1,638307,2919929
4100000435,2,159436,2387237
4100000436,1,208557,4951210
4100000436,2,441418,9645737
4100000437,1,317147,1624493
4100000437,2,357266,2653342
4100000438,1,599380,7567121
4100000438,2,650288,6065371
4100000439,1,781336,1199628
4100000439,2,469632,5389614
4100000440,1,280899,3651381
4100000440,2,928355,3653056
4100000441,1,777681,1263346
4100000441,2,283347,1240397
4100000442,1,299261,5635899
4100000442,2,724113,3365152
4100000443,1,677233,6138381
4100000443,2,135799,6912648
4100000444,1,526076,6117168
4100000444,2,755703,2501689
4100000445,1,856232,5559129
4100000445,2,300790,7157087
4100000446,1,426177,3025124
4100000446,2,289779,9844660
4100000447,1,359377,9929899
4100000447,2,177212,1655003
4100000448,1,706581,3006565
4100000448,2,644098,1964921
4100000449,1,106997,8668477
4100000449,2,500073,5380099
4100000450,1,862533,9755119
4100000450,2,397319,4541794
4100000451,1,318306,7469088
4100000451,2,305196,1407969
4100000452,1,426513,6756941
4100000452,2,212270,4386813
4100000453,1,469791,1310918
4100000453,2,467540,4916998
4100000454,1,613576,2461128
4100000454,2,562961,3347274
4100000455,1,520591,7114295
4100000455,2,967737,2977075
4100000456,1,954719,8259602
4100000456,2,671958,5328023
4100000457,1,511958,1675704
4100000457,2,657164,6687866
4100000458,1,484432,898601
4100000458,2,444395,8937986
4100000459,1,304668,7171681
4100000459,2,446415,8282387
4100000460,1,400180,4646118
4100000460,2,431787,8239610
4100000461,1,125503,2643238
4100000461,2,127822,1202393
4100000462,1,344383,3416895
4100000462,2,510334,7893111
4100000463,1,880043,9242953
4100000463,2,922774,1528117
4100000464,1,404419,5923127
4100000464,2,149112,9349306
4100000465,1,186998,7432037
4100000465,2,920640,5225568
4100000466,1,759424,7707482
4100000466,2,412274,2769696
4100000467,1,969468,2128542
4100000467,2,710322,5845868
4100000468,1,474577,4341245
4100000468,2,327571,6074924
4100000469,1,385042,5628311
4100000469,2,790136,9346320
4100000470,1,713706,6168456
4100000470,2,331863,3106585
4100000471,1,878898,9673666
4100000471,2,103125,5725682
4100000472,1,278960,3633568
4100000472,2,312260,763687
4100000473,1,893315,5003115
4100000473,2,285115,717912
4100000474,1,464451,1264610
4100000474,2,216767,2131936
4100000475,1,442914,4222005
4100000475,2,259112,5975248
4100000476,1,898570,6855319
4100000476,2,138090,7944080
4100000477,1,475133,1735958
4100000477,2,819168,9633153
4100000478,1,695832,3740383
4100000478,2,402438,6604975
4100000479,1,107232,6748349
4100000479,2,271457,7967355
4100000480,1,724553,818750
4100000480,2,640997,1214826
4100000481,1,288965,5010171
4100000481,2,419693,1750998
4100000482,1,929278,4831203
4100000482,2,723478,9061167
4100000483,1,141569,4834669
4100000483,2,499505,3418860
4100000484,1,423584,5394759
4100000484,2,301638,2684538
4100000485,1,166664,3489635
4100000485,2,698850,4420062
4100000486,1,270183,6406310
4100000486,2,453389,6885786
4100000487,1,181445,8234528
4100000487,2,195646,8493349
4100000488,1,546010,2953524
4100000488,2,397072,6892778
4100000489,1,129755,1430078
4100000489,2,816199,1547062
4100000490,1,165496,7774067
4100000490,2,432232,3666894
4100000491,1,670490,6018827
4100000491,2,740114,5369733
4100000492,1,273933,7465015
4100000492,2,497368,2376744
4100000493,1,306338,5920350
4100000493,2,778307,1436494
4100000494,1,910723,3539954
4100000494,2,653879,4686474
4100000495,1,786465,541657
4100000495,2,339001,3830351
4100000496,1,455846,1977994
4100000496,2,942642,5691165
4100000497,1,767951,4706603
4100000497,2,707236,3397200
4100000498,1,345273,4921291
4100000498,2,516641,5770904
4100000499,1,414255,6235482
4100000499,2,778451,7520763
