id,split,caff,charger,ch_t,pre,post,grp4,score,fert,water,yield,acc,camp,reg,disc,temp,ad,ord,age,svc,soc,book,target,pred_prob,pred_cls
41,test,95.14,Old,1.57,60.48,60.41,G4,59.27,F2,W1,45.61,34,ENG,Y,1,12,900,777.52,24,5,5,5,0,0.3019,0
42,train,97.26,New,1.53,60.19,60.62,G1,54.65,F1,W1,46.9,0,BDA,Y,3,32,201,342.95,40,4,2,4,1,0.3585,0
43,train,93.4,New,1.21,61.28,59.6,G1,59.9,F1,W1,36.89,5p,BDA,Y,5,19,562,612.83,65,5,2,3,0,0.1797,0
44,train,94.24,Old,1.56,60.24,60.18,G2,77.52,F2,W1,43.14,0,ENG,Y,6,30,231,442.16,47,4,3,3,0,0.2338,0
45,train,94.13,New,1.48,58.46,57.46,G1,67.11,F2,W2,45.7,0,BDA,Y,16,12,536,891.8,35,5,4,2,0,0.02,0
46,test,94.42,Old,2.17,58.52,57.06,G3,63.54,F2,W2,46.96,1,BDA,Y,17,20,344,784.18,29,1,4,4,0,0.0871,0
47,test,93.54,Old,1.74,59.69,59.08,G1,70.83,F1,W1,40.49,0,BDA,N,27,30,772,1003.34,33,1,4,5,0,0.1674,0
48,train,94.14,New,1.65,60.16,58.43,G2,68.3,F1,W2,40.74,2,ENG,N,7,33,683,810.13,34,3,5,1,0,0.0131,0
49,test,95.78,Old,1.43,59.34,59.5,G4,72.46,F2,W3,41.0,2,ENG,N,25,21,878,1167.4,56,4,2,1,0,0.0387,0
50,test,93.99,Old,2.2,60.39,59.72,G4,58.7,F2,W3,45.46,0,ENG,Y,20,16,843,1141.23,25,1,4,3,0,0.0379,0
51,test,94.01,Old,1.51,60.42,59.64,G2,64.4,F2,W1,46.97,34,ENG,Y,10,13,356,712.89,28,2,1,5,0,0.0285,0
52,train,94.66,New,1.86,61.1,61.42,G4,73.26,F1,W2,35.05,0,ENG,N,7,23,673,684.46,46,1,1,2,1,0.1411,0
53,test,94.43,Old,1.3,60.1,59.75,G2,68.91,F2,W3,40.19,2,ENG,Y,17,32,524,701.96,40,1,4,2,0,0.145,0
54,train,93.58,New,1.52,57.48,57.43,G1,58.08,F1,W1,33.48,2,BDA,N,0,21,210,489.52,34,3,1,3,0,0.057,0
55,test,93.5,Old,1.81,61.69,62.09,G1,65.99,F2,W2,43.63,0,BDA,Y,27,31,422,669.13,37,3,5,1,1,0.5928,1
56,train,93.11,New,1.58,60.13,59.57,G2,71.63,F2,W3,48.09,1,ENG,Y,2,16,466,663.95,56,3,3,1,1,0.5712,1
57,train,94.23,New,1.43,61.69,60.82,G3,66.6,F1,W1,38.18,0,BDA,Y,11,12,909,984.71,29,2,5,1,1,0.3713,0
58,train,94.16,New,1.49,60.06,59.65,G4,67.69,F2,W3,45.35,5p,ENG,Y,29,24,315,811.46,28,3,2,2,1,0.1241,0
59,train,93.32,New,1.44,60.82,61.16,G3,68.23,F1,W1,37.23,0,BDA,Y,24,34,211,733.44,42,1,2,3,0,0.0071,0
60,test,94.2,Old,1.4,60.31,60.23,G3,76.18,F1,W3,32.31,0,BDA,N,11,21,496,751.16,58,3,1,1,0,0.4173,0
61,test,92.67,Old,1.56,60.92,60.32,G1,59.4,F1,W3,35.99,0,BDA,Y,5,28,435,668.73,47,2,1,2,0,0.2785,0
62,train,95.1,New,1.74,57.69,57.24,G4,67.97,F2,W1,47.1,0,ENG,Y,29,12,384,806.59,36,2,1,3,0,0.251,0
63,train,94.83,Old,1.66,59.48,58.79,G4,70.42,F1,W2,44.14,34,ENG,Y,25,25,472,808.31,50,2,1,5,1,0.802,1
64,test,94.21,Old,1.55,61.3,60.22,G4,62.26,F2,W3,51.62,0,ENG,Y,26,34,811,1009.87,40,3,3,5,0,0.3311,0
65,test,93.03,Old,1.46,61.42,61.37,G3,73.95,F1,W1,41.15,0,BDA,Y,30,10,849,1023.3,45,5,5,2,1,0.3315,0
66,train,95.44,New,1.53,60.28,59.93,G2,56.13,F1,W2,37.29,1,ENG,Y,1,11,769,837.74,47,3,4,2,0,0.0782,0
67,train,94.91,New,1.35,59.79,58.62,G2,66.76,F2,W3,39.28,0,ENG,N,0,31,394,443.07,51,1,4,2,0,0.0981,0
68,train,94.21,New,1.44,62.78,61.83,G4,68.03,F2,W1,39.38,0,ENG,Y,6,14,238,550.72,31,1,3,3,0,0.031,0
69,test,91.7,Old,2.02,57.63,57.37,G2,78.43,F2,W3,41.63,34,ENG,Y,0,26,391,638.57,27,3,2,4,1,0.7258,1
70,train,94.86,New,1.35,59.26,59.02,G4,68.99,F2,W3,48.43,2,ENG,Y,16,32,212,752.5,39,2,2,4,0,0.05,0
71,test,95.33,Old,1.63,59.01,59.05,G2,56.16,F2,W1,39.75,2,ENG,N,18,33,808,861.8,28,3,3,1,0,0.2524,0
72,train,95.89,New,1.4,60.22,59.94,G3,63.63,F1,W3,41.82,0,BDA,Y,2,12,472,663.31,63,5,4,4,0,0.0246,0
73,test,92.21,Old,1.93,61.77,61.72,G2,65.17,F2,W1,41.76,0,ENG,Y,26,16,662,957.02,26,3,4,4,0,0.0655,0
74,test,95.5,Old,1.87,61.32,60.6,G3,71.43,F1,W3,37.63,5p,BDA,N,29,26,842,963.44,48,4,2,5,1,0.8353,1
75,train,93.03,New,1.31,61.16,60.86,G2,69.06,F2,W1,43.78,1,ENG,N,9,23,480,479.84,61,5,2,1,0,0.4674,0
76,train,93.64,New,1.63,58.51,58.9,G1,68.76,F1,W3,42.97,0,BDA,N,11,18,159,583.33,57,4,2,1,0,0.5308,1
77,test,94.99,Old,1.41,61.52,61.26,G4,81.43,F1,W2,43.93,0,ENG,N,17,26,839,878.9,65,4,4,4,0,0.3955,0
78,train,93.57,New,1.55,60.51,60.21,G2,59.9,F1,W2,36.06,0,ENG,N,7,18,657,789.27,56,1,4,3,1,0.5348,1
79,test,96.22,Old,1.87,59.88,59.44,G2,55.27,F1,W2,42.96,2,ENG,N,25,29,274,619.48,43,4,2,2,0,0.078,0
80,train,94.2,New,1.61,59.93,60.21,G3,61.85,F1,W1,43.21,0,BDA,N,17,23,882,884.94,34,2,2,5,0,0.2777,0
81,train,95.87,New,1.58,61.18,61.09,G4,64.08,F1,W2,38.64,0,ENG,Y,25,17,597,879.2,57,5,5,4,0,0.1687,0
82,test,95.69,Old,1.93,59.31,59.51,G3,73.39,F2,W2,43.15,0,BDA,Y,21,12,298,813.4,65,3,5,1,0,0.059,0
83,train,96.77,New,1.74,59.92,59.73,G4,72.84,F1,W2,38.84,0,ENG,N,14,15,283,653.06,44,4,2,4,0,0.0756,0
84,test,94.03,Old,2.46,60.59,60.78,G1,72.07,F1,W3,44.18,0,BDA,Y,30,30,457,716.33,48,1,5,1,1,0.1461,0
